,Date,Open,High,Low,Close,Volume,Market Cap
484,"Apr 06, 2018",6.36,6.41,5.76,5.89,"451,440,992","4,566,947,785"
485,"Apr 05, 2018",5.72,6.46,5.50,6.40,"542,464,000","4,951,775,509"
486,"Apr 04, 2018",6.11,6.14,5.61,5.73,"260,820,000","4,423,526,761"
487,"Apr 03, 2018",5.90,6.19,5.82,6.13,"306,368,992","4,720,001,687"
488,"Apr 02, 2018",5.68,5.96,5.56,5.89,"314,995,008","4,518,128,380"
489,"Apr 01, 2018",6.00,6.04,5.25,5.66,"401,303,008","4,335,135,885"
490,"Mar 31, 2018",6.11,6.22,5.96,5.99,"224,212,992","4,574,166,301"
491,"Mar 30, 2018",6.03,6.20,5.86,6.10,"506,609,984","4,646,281,232"
492,"Mar 29, 2018",6.31,6.37,5.92,6.02,"626,902,976","4,567,119,326"
493,"Mar 28, 2018",5.88,6.55,5.82,6.29,"616,041,984","4,764,570,075"
494,"Mar 27, 2018",5.90,6.44,5.28,5.91,"877,542,976","4,465,933,960"
495,"Mar 26, 2018",6.53,6.57,5.42,5.90,"553,672,000","4,449,568,753"
496,"Mar 25, 2018",6.60,6.76,6.49,6.52,"274,460,000","4,901,277,087"
497,"Mar 24, 2018",6.99,7.12,6.63,6.63,"357,179,008","4,969,807,656"
498,"Mar 23, 2018",7.02,7.14,6.42,7.01,"846,830,016","5,230,233,884"
499,"Mar 22, 2018",7.01,7.34,6.32,7.03,"1,062,430,016","5,232,646,812"
500,"Mar 21, 2018",6.07,7.24,5.98,7.03,"765,790,016","5,219,753,927"
501,"Mar 20, 2018",6.17,6.40,5.45,6.01,"667,072,000","4,453,655,243"
502,"Mar 19, 2018",4.71,6.36,4.57,6.36,"660,668,992","4,692,060,463"
503,"Mar 18, 2018",4.65,4.68,3.95,4.65,"333,500,992","3,424,567,122"
504,"Mar 17, 2018",5.09,5.11,4.61,4.67,"140,080,000","3,432,523,353"
505,"Mar 16, 2018",5.18,5.32,4.95,5.09,"184,719,008","3,726,256,726"
506,"Mar 15, 2018",5.35,5.38,4.87,5.17,"293,299,008","3,776,093,051"
507,"Mar 14, 2018",5.87,5.97,5.25,5.34,"210,732,992","3,890,529,578"
508,"Mar 13, 2018",5.82,5.98,5.66,5.86,"199,199,008","4,258,270,138"
509,"Mar 12, 2018",6.15,6.23,5.72,5.83,"206,551,008","4,225,761,206"
510,"Mar 11, 2018",5.79,6.24,5.61,6.14,"271,828,992","4,431,182,115"
511,"Mar 10, 2018",6.17,6.50,5.80,5.80,"309,652,992","4,179,058,787"
512,"Mar 09, 2018",6.20,6.24,5.38,6.13,"429,200,992","4,406,482,424"
513,"Mar 08, 2018",6.51,6.76,6.12,6.20,"299,364,992","4,445,107,794"
514,"Mar 07, 2018",7.25,7.37,6.17,6.51,"423,460,000","4,648,692,535"
515,"Mar 06, 2018",8.00,8.00,7.16,7.25,"233,026,000","5,163,442,528"
516,"Mar 05, 2018",8.18,8.29,8.05,8.05,"183,715,008","5,716,172,787"
517,"Mar 04, 2018",8.00,8.18,7.79,8.18,"195,810,000","5,783,553,012"
518,"Mar 03, 2018",8.11,8.30,7.96,8.00,"141,850,000","5,642,689,292"
519,"Mar 02, 2018",8.68,8.74,8.03,8.09,"211,631,008","5,692,032,956"
520,"Mar 01, 2018",8.39,8.63,8.30,8.63,"214,126,000","6,050,853,238"
